Godzina,Dzien Tygodnia z najmniejszym bilansem,Krajowe zapotrzebowanie na moc Mean,Krajowe zapotrzebowanie na moc Min,Krajowe zapotrzebowanie na moc Max,Krajowe saldo wymiany miedzysystemowej sumarycznie Mean,Krajowe saldo wymiany miedzysystemowej sumarycznie Min,Krajowe saldo wymiany miedzysystemowej sumarycznie Max,Liczba dni z ujemnym bilansem wymiany Sum
1,Piątek,16252.667,14387.238,17331.325,-90.714,-1925.513,692.863,7
2A,Niedziela,13639.9,13639.9,13639.9,57.625,57.625,57.625,0
2,Piątek,15728.376,13973.575,16757.825,-348.464,-2327.063,712.163,9
3,Piątek,15432.561,13439.713,16364.85,-380.534,-2413.688,376.288,8
4,Piątek,15408.634,13389.65,16449.138,-273.045,-1989.388,545.113,8
5,Piątek,15667.573,13518.55,16802.863,-96.626,-1895.713,589.051,6
6,Piątek,16392.681,13766.6,17709.275,-47.322,-1436.387,703.663,7
7,Sobota,18480.829,14204.063,20368.288,135.169,-343.525,1313.088,8
8,Sobota,19924.948,14927.425,22159.975,99.801,-319.287,1316.213,7
9,Czwartek,20767.266,15851.738,22939.963,138.7,-210.913,1406.713,7
10,Czwartek,21062.01,16727.1,22861.25,166.621,-360.6,1508.038,7
11,Sobota,20853.939,16761.813,22394.475,156.264,-431.312,1391.45,6
12,Sobota,20892.872,16682.863,22580.038,135.197,-423.337,1170.575,7
13,Czwartek,20904.721,16899.775,22671.163,132.319,-437.363,1232.288,5
14,Sobota,20805.274,16918.088,22508.175,162.736,-553.738,1136.238,5
15,Czwartek,20546.472,16717.513,22132.625,133.963,-367.275,1042.813,5
16,Czwartek,20579.256,16561.188,22127.238,224.421,-306.375,1344.738,4
17,Środa,20671.35,17010.4,22039.675,216.064,-286.413,959.563,6
18,Środa,21129.462,17707.8,22428.95,105.538,-304.413,653.0,5
19,Piątek,21835.351,18346.1,23422.8,112.074,-508.175,991.15,7
20,Poniedziałek,21812.139,18234.488,23410.825,214.375,-323.8,982.313,5
21,Czwartek,21213.146,17834.075,22834.688,475.875,-186.1,1515.463,1
22,Czwartek,19848.676,16935.588,21250.95,370.248,-281.925,1346.988,3
23,Czwartek,18400.152,15999.063,19607.475,358.789,-264.05,1008.188,4
24,Czwartek,17126.518,15038.55,18284.25,135.172,-861.05,663.6,5
1,Poniedziałek,16087.053,14063.713,17706.0,93.072,-1225.063,964.838,21
2,Środa,15504.082,13548.6,16932.563,-75.714,-1690.725,754.725,33
3,Środa,15182.522,13213.7,16578.875,-213.293,-2123.025,606.175,44
4,Środa,15134.132,13024.0,16677.175,-216.079,-1877.487,522.088,48
5,Poniedziałek,15270.895,13091.563,16917.9,-171.047,-1894.363,908.113,43
6,Poniedziałek,15616.53,12748.975,17702.063,-81.28,-2123.325,382.35,39
7,Poniedziałek,17323.053,12987.075,20411.988,-25.19,-2135.713,458.125,34
8,Niedziela,18961.686,13709.338,21887.463,73.717,-1040.838,397.263,18
9,Niedziela,20059.955,14740.175,22879.013,121.287,-959.501,623.113,21
10,Niedziela,20489.483,15331.275,22938.338,82.827,-977.588,696.85,28
11,Niedziela,20425.169,15384.1,22867.05,-25.521,-1451.812,718.7,45
12,Czwartek,20582.684,15504.2,23140.813,-2.927,-1202.1,593.425,39
13,Piątek,20606.755,15839.625,23375.1,32.525,-1151.6,759.15,31
14,Piątek,20512.963,15785.863,23255.25,18.198,-1287.713,923.626,33
15,Czwartek,20198.803,15507.025,22928.5,-20.772,-1576.988,744.188,48
16,Czwartek,20253.571,15420.675,23047.9,21.037,-1028.438,614.188,32
17,Niedziela,20206.437,15216.525,23085.875,67.229,-1110.275,903.35,27
18,Poniedziałek,20209.781,15690.15,22834.613,116.907,-582.312,744.276,17
19,Niedziela,20396.596,16244.538,22917.188,162.136,-411.575,961.538,22
20,Piątek,20854.385,16440.588,23421.175,203.26,-310.337,1262.238,14
21,Piątek,20842.289,16878.038,23057.763,242.647,-238.413,1289.051,14
22,Poniedziałek,19841.722,16809.025,21991.7,172.525,-198.725,1344.4,19
23,Czwartek,18428.015,15861.938,20530.075,184.24,-789.937,1121.475,16
24,Czwartek,17125.941,14919.588,18948.9,120.961,-1167.175,820.163,20
